version_id,version_name,modified_by,modified_time
125,Raw,1,2022-05-05 13:11:52.265578
126,Manually Corrected,1,2022-05-05 13:11:52.271739
130,Forecast-MA,1,2022-05-11 09:49:50.393995
135,Forecast-Bestfit,1,2022-05-11 09:50:22.639466
