ts_data_id,ts_id,dttime,data,version_id
44472344,27903,2022-10-01 00:00:00,40959.043,130
44472345,27903,2022-11-01 00:00:00,35190.164,130
44472346,27903,2022-12-01 00:00:00,29334.244,130
44472347,27903,2023-01-01 00:00:00,21442.723,130
44472348,27903,2023-02-01 00:00:00,13701.733,130
44472349,27903,2023-03-01 00:00:00,5648.693,130
44472350,27903,2023-04-01 00:00:00,0.0,130
44472351,27903,2023-05-01 00:00:00,0.0,130
44472352,27903,2023-06-01 00:00:00,0.0,130
44472353,27903,2023-07-01 00:00:00,0.0,130
44472354,27903,2023-08-01 00:00:00,0.0,130
44472355,27903,2023-09-01 00:00:00,0.0,130
44472356,27903,2023-10-01 00:00:00,0.0,130
44472357,27903,2023-11-01 00:00:00,0.0,130
44472358,27903,2023-12-01 00:00:00,0.0,130
44472359,27903,2024-01-01 00:00:00,0.0,130
44472360,27903,2024-02-01 00:00:00,0.0,130
44472361,27903,2024-03-01 00:00:00,0.0,130
44472362,27903,2024-04-01 00:00:00,0.0,130
44472363,27903,2024-05-01 00:00:00,0.0,130
44472364,27903,2024-06-01 00:00:00,0.0,130
44472365,27903,2024-07-01 00:00:00,0.0,130
44472366,27903,2024-08-01 00:00:00,0.0,130
44472367,27903,2024-09-01 00:00:00,0.0,130
44472368,27903,2024-10-01 00:00:00,0.0,130
44472369,27903,2024-11-01 00:00:00,0.0,130
44472370,27903,2024-12-01 00:00:00,0.0,130
44472371,27903,2025-01-01 00:00:00,0.0,130
44472372,27903,2025-02-01 00:00:00,0.0,130
44472373,27903,2025-03-01 00:00:00,0.0,130
44472374,27903,2025-04-01 00:00:00,0.0,130
44472375,27903,2025-05-01 00:00:00,0.0,130
44472877,27904,2023-09-01 00:00:00,0.0,130
44472878,27904,2023-10-01 00:00:00,0.0,130
44472879,27904,2023-11-01 00:00:00,0.0,130
44472880,27904,2023-12-01 00:00:00,0.0,130
44472881,27904,2024-01-01 00:00:00,0.0,130
44472882,27904,2024-02-01 00:00:00,0.0,130
44472883,27904,2024-03-01 00:00:00,0.0,130
44472884,27904,2024-04-01 00:00:00,0.0,130
44472885,27904,2024-05-01 00:00:00,0.0,130
44472886,27904,2024-06-01 00:00:00,0.0,130
44472887,27904,2024-07-01 00:00:00,0.0,130
44472888,27904,2024-08-01 00:00:00,0.0,130
44472889,27904,2024-09-01 00:00:00,0.0,130
44472890,27904,2024-10-01 00:00:00,0.0,130
44472891,27904,2024-11-01 00:00:00,0.0,130
44472892,27904,2024-12-01 00:00:00,0.0,130
44472893,27904,2025-01-01 00:00:00,0.0,130
44472894,27904,2025-02-01 00:00:00,0.0,130
44472895,27904,2025-03-01 00:00:00,0.0,130
